原始值,显示效果,numFmt,,
1234.5678,"1,234.57","#,##0.00",,主题色 accent1
-1234.5678,"-1,234.57","#,##0.00;[Red]-#,##0.00",,
0.2567,25.7%,0.0%,,
0.2567,25.67%,0.00%,,
45658,2025-01-01,yyyy-mm-dd,,
45658,2025年1月1日,"yyyy""年""m""月""d""日""",,
0.75,6:00 PM,h:mm AM/PM,,
1.5,36:00:00,[h]:mm:ss,,
123456789,1.23E+08,0.00E+00,,
1234.5,"¥1,234.50","¥#,##0.00",,
1234.5,"总计 1,234.50 元","""总计 ""#,##0.00"" 元""",,
12345,"12,345","#,##0",,
1234.5678,1234.568,0.000,,
0.5, 1/2,# ?/?,,
00123,00123,@,,
45658.5,1/1/25 12:00,m/d/yy h:mm,,
-0.1234,-12.34%,0.00%;[Red]-0.00%,,
